date,price
2021-01-01,1650
2021-02-01,1620
2021-03-01,1580
2021-04-01,1600
2021-05-01,1680
2021-06-01,1750
2021-07-01,1820
2021-08-01,1900
2021-09-01,1950
2021-10-01,2000
2021-11-01,2100
2021-12-01,2200
2022-01-01,2150
2022-02-01,2050
2022-03-01,1980
2022-04-01,1950
2022-05-01,2000
2022-06-01,2100
2022-07-01,2200
2022-08-01,2300
2022-09-01,2400
2022-10-01,2350
2022-11-01,2250
2022-12-01,2150
2023-01-01,2100
2023-02-01,2050
2023-03-01,2000
2023-04-01,1980
2023-05-01,2020
2023-06-01,2100
2023-07-01,2180
2023-08-01,2250
2023-09-01,2350
2023-10-01,2400
2023-11-01,2450
2023-12-01,2500
2024-01-01,2480
2024-02-01,2420
2024-03-01,2350
2024-04-01,2300
2024-05-01,2280
2024-06-01,2320
2024-07-01,2380
2024-08-01,2450
2024-09-01,2500
2024-10-01,2550
2024-11-01,2600
2024-12-01,2650
2025-01-01,2600
2025-02-01,2550
2025-03-01,2480
2025-04-01,2420
2025-05-01,2400
2025-06-01,2450
2025-07-01,2500
2025-08-01,2550
2025-09-01,2600
2025-10-01,2620
2025-11-01,2650
2025-12-01,2700
